week,total_debt,new_debt,promises_made,promises_kept,bubble_index,excuse_count,shock_active,shock_name
1,0,0.0,0,0,5.0,0,False,
2,0,0.0,0,0,5.0,0,False,
3,162.38,153.77,2,0,25.83,2,False,
4,282.54,239.91,2,0,30.8,2,False,
5,299.06,149.91,1,1,25.19,1,False,
6,188.8,74.82,2,2,22.29,2,False,
7,125.14,253.65,3,1,24.18,3,False,
8,135.97,97.55,1,1,21.0,1,False,
9,145.29,0.0,0,0,14.49,0,False,
10,205.62,161.79,2,1,27.27,2,False,
11,201.87,98.59,1,1,33.29,1,True,双十一购物节
12,213.05,216.63,2,0,34.22,2,False,
13,223.37,0.0,0,0,20.73,0,False,
14,238.35,0.0,0,0,22.01,0,False,
15,178.31,52.26,1,0,34.86,1,False,
16,343.18,254.58,2,0,41.0,2,False,
17,341.77,146.51,1,0,42.19,1,False,
18,295.69,116.81,1,1,34.09,1,False,
19,449.98,257.81,2,1,41.94,2,False,
20,327.9,90.12,1,1,36.74,1,False,
21,342.55,0.0,0,0,30.69,0,False,
22,187.53,0.0,0,0,26.81,0,False,
23,310.91,166.98,2,0,53.14,2,True,年终述职季
24,324.31,140.78,1,0,46.17,1,False,
25,0,0.0,0,2,18.26,0,False,
26,0,133.17,1,0,33.26,1,False,
27,0,0.0,0,0,18.26,0,False,
28,118.57,270.13,3,0,37.35,3,False,
29,70.57,67.36,1,1,28.63,1,False,
30,302.69,405.14,4,0,53.09,4,True,水星逆行
31,312.7,0.0,0,0,31.62,0,False,
32,252.6,0.0,0,1,30.14,0,False,
33,334.89,345.03,3,1,44.75,3,False,
34,348.33,0.0,0,0,34.97,0,False,
35,367.48,0.0,0,0,36.67,0,False,
36,384.06,84.34,1,0,53.32,1,False,
37,487.79,81.7,1,0,65.14,1,True,春节催婚潮
38,509.1,0.0,0,0,43.43,0,False,
39,285.37,0.0,0,1,37.0,0,False,
40,297.61,0.0,0,0,37.81,0,False,
41,214.86,244.54,3,0,49.51,3,False,
42,220.65,0.0,0,0,35.27,0,False,
43,379.13,143.31,1,0,55.8,1,False,
44,548.25,210.86,2,0,62.3,2,False,
45,316.58,0.0,0,1,49.28,0,True,倒春寒流感大爆发
46,334.31,148.92,1,0,57.83,1,False,
47,350.11,172.44,2,0,57.55,2,False,
48,466.55,92.05,1,0,61.51,1,False,
49,545.96,114.54,1,0,64.97,1,False,
50,574.84,0.0,0,0,51.69,0,False,
51,612.5,107.19,1,1,60.94,1,False,
52,501.13,0.0,0,0,50.76,0,False,
