week,total_debt,new_debt,promises_made,promises_kept,bubble_index,excuse_count,shock_active,shock_name
1,0,0.0,0,0,5.0,0,False,
2,0,0.0,0,0,5.0,0,False,
3,162.38,153.77,2,0,25.83,2,False,
4,282.54,239.91,2,0,30.8,2,False,
5,299.06,149.91,1,1,25.19,1,False,
6,317.97,44.16,1,1,26.64,1,False,
7,229.84,0.0,0,1,17.05,0,False,
8,505.37,253.91,2,0,41.9,2,False,
9,396.15,0.0,0,1,24.6,0,False,
10,261.84,0.0,0,1,21.08,0,False,
11,277.49,109.48,1,1,37.7,1,True,双十一购物节
12,296.78,0.0,0,0,23.54,0,False,
13,248.7,120.42,1,0,37.11,1,False,
14,308.66,48.81,1,0,39.59,1,False,
15,195.21,0.0,0,1,20.36,0,False,
16,148.89,0.0,0,1,19.4,0,False,
17,127.36,120.43,1,0,33.19,1,False,
18,0,0.0,0,0,13.94,0,False,
19,164.49,155.55,2,0,34.84,2,False,
20,134.52,124.6,1,1,26.62,1,False,
21,235.92,90.12,1,0,38.07,1,False,
22,382.61,127.1,1,0,43.97,1,False,
23,415.31,110.93,2,0,53.74,2,True,年终述职季
24,273.91,36.4,1,1,34.07,1,False,
25,218.04,140.78,1,1,32.98,1,False,
26,231.29,46.58,1,1,34.26,1,False,
27,181.26,0.0,0,1,25.68,0,False,
28,227.57,33.46,1,0,42.29,1,False,
29,416.58,237.0,3,1,45.44,3,False,
30,480.85,138.37,1,0,60.49,1,True,水星逆行
31,502.98,0.0,0,0,39.21,0,False,
32,539.93,166.16,2,1,51.37,2,False,
33,699.94,236.38,2,1,57.91,2,False,
34,606.65,0.0,0,1,46.14,0,False,
35,657.21,54.37,2,1,59.33,2,False,
36,618.16,98.32,1,0,64.23,1,False,
37,544.45,0.0,0,1,56.69,0,True,春节催婚潮
38,604.45,145.39,1,1,58.39,1,False,
39,713.19,174.84,2,1,64.59,2,False,
40,987.4,227.44,2,0,79.1,2,False,
41,1027.91,174.28,2,2,74.02,2,False,
42,1228.01,141.83,1,0,88.31,1,False,
43,1433.05,228.62,2,1,84.15,2,False,
44,1503.77,0.0,0,0,75.19,0,False,
45,1577.84,0.0,0,0,84.79,0,True,倒春寒流感大爆发
46,1462.33,145.9,1,0,93.17,1,False,
47,1435.16,65.76,1,1,86.36,1,False,
48,1438.59,0.0,0,1,80.05,0,False,
49,1450.79,123.3,1,1,88.18,1,False,
50,1301.54,93.23,1,1,89.22,1,False,
51,1215.08,0.0,0,1,82.56,0,False,
52,1371.55,112.03,1,0,97.64,1,False,
